"Date","Attendance","Opponent","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
2015-10-28,NA,"vsPhiladelphia",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,17,",,W",0.36,",,W,2400",0,",,W",NA,NA,49,"H,,S",65,",,W",42,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-10-30,16898,"vsToronto",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.97,",,W",0,",,W,2400",0,",,W",NA,NA,56,"H,,S",61,",,W",42,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-01,17461,"vsSan Antonio",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.74,",,W",0,"T,,W,2400",0,",,W",NA,NA,53,"H,,S",62,",,W",48,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-06,18624,"vsWashington",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,14.54,",,W",0,",,W,2400",0,",,W",NA,NA,67,"H,,S",73,",,W",62,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-11,17879,"vsIndiana",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,16.11,",,W",0.54,",,W,2400",0,",,W",NA,NA,48,"H,,S",50,",,W",46,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-13,17138,"vsAtlanta",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,17.9,",,W",0.01,",,W,2400",0,",,W",NA,NA,54,"H,,S",59,",,W",46,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-18,17262,"vsDallas",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.26,",,W",0,",,W,2400",0,",,W",NA,NA,40,"H,,S",48,",,W",31,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-20,18361,"vsBrooklyn",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.75,",,W",0.86,",,W,2400",0,",,W",NA,NA,56,"H,,S",61,",,W",44,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-25,17588,"vsPhiladelphia",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.04,",,W",0,",,W,2400",0,",,W",NA,NA,39,"H,,S",44,",,W",30,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-11-27,18624,"vsWashington",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,14.32,",,W",0,",,W,2400",0,",,W",NA,NA,54,"H,,S",64,",,W",48,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
