"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"1",1,2017,2017-04-03,"boxscore","BOS","","PIT","W",5,3,NA,"Jan-00",1,"Tied","Porcello","Cole","Kimbrel","3:03","D","36594","+",NA
"2",2,2017,2017-04-05,"boxscore","BOS","","PIT","W-wo",3,0,12,"Feb-00",1,"Tied","Kelly","Bastardo","","3:53","N","36137","++",NA
"3",3,2017,2017-04-07,"boxscore","BOS","@","DET","L",5,6,NA,"1-Feb",2,"1","Rodriguez","Hembree","","3:35","D","45013","-",NA
"4",4,2017,2017-04-08,"boxscore","BOS","@","DET","L",1,4,NA,"2-Feb",3,"2","Zimmermann","Rodriguez","Wilson","3:05","D","32622","--",NA
"5",5,2017,2017-04-09,"boxscore","BOS","@","DET","W",7,5,NA,"2-Mar",3,"1","Barnes","Rondon","Kimbrel","3:27","D","33662","+",NA
"6",6,2017,2017-04-10,"boxscore","BOS","@","DET","L",1,2,NA,"3-Mar",3,"1.5","Wilson","Sale","Rodriguez","2:44","D","24672","-",NA
"7",7,2017,2017-04-11,"boxscore","BOS","","BAL","W",8,1,NA,"3-Apr",3,"0.5","Pomeranz","Bundy","","3:15","N","37497","+",NA
"8",8,2017,2017-04-12,"boxscore","BOS","","BAL","L",5,12,NA,"4-Apr",3,"1.5","Givens","Wright","","3:46","N","32211","-",NA
"9",9,2017,2017-04-13,"boxscore","BOS","","PIT","W",4,3,NA,"4-May",2,"1.5","Barnes","Nicasio","Kimbrel","3:15","D","32400","+",NA
"10",10,2017,2017-04-14,"boxscore","BOS","","TBR","L",5,10,NA,"5-May",4,"2.5","Archer","Porcello","","3:37","N","36813","-",NA
"11",11,2017,2017-04-15,"boxscore","BOS","","TBR","W",2,1,NA,"5-Jun",3,"1.5","Sale","Hunter","Kimbrel","2:54","D","36686","+",NA
"12",12,2017,2017-04-16,"boxscore","BOS","","TBR","W",7,5,NA,"5-Jul",3,"1.5","Kelly","Farquhar","Kimbrel","3:46","D","36209","++",NA
"13",13,2017,2017-04-17,"boxscore","BOS","","TBR","W",4,3,NA,"5-Aug",3,"1","Wright","Snell","Kimbrel","3:07","D","37318","+++",NA
"14",14,2017,2017-04-18,"boxscore","BOS","@","TOR","W",8,7,NA,"5-Sep",1,"Tied","Johnson","Stroman","","3:48","N","29281","++++",NA
"15",15,2017,2017-04-19,"boxscore","BOS","@","TOR","L",0,3,NA,"6-Sep",3,"1","Liriano","Porcello","Osuna","2:45","N","30842","-",NA
"16",16,2017,2017-04-20,"boxscore","BOS","@","TOR","W",4,1,10,"6-Oct",3,"1","Kimbrel","Grilli","","3:07","D","44283","+",NA
"17",17,2017,2017-04-21,"boxscore","BOS","@","BAL","L",0,2,NA,"7-Oct",3,"2","Bundy","Pomeranz","Brach","3:20","N","34442","-",NA
"18",18,2017,2017-04-22,"boxscore","BOS","@","BAL","L",2,4,NA,"8-Oct",3,"3","Aquino","Wright","O'Day","2:47","N","35457","--",NA
"19",19,2017,2017-04-23,"boxscore","BOS","@","BAL","W",6,2,NA,"8-Nov",3,"2","Rodriguez","Gausman","Kimbrel","3:34","D","35522","+",NA
"20",20,2017,2017-04-26,"boxscore","BOS","","NYY","L",1,3,NA,"9-Nov",3,"3","Severino","Porcello","Chapman","3:16","N","32072","-",NA
"21",21,2017,2017-04-27,"boxscore","BOS","","NYY","L",0,3,NA,"10-Nov",3,"3.5","Tanaka","Sale","","2:21","N","34054","--",NA
"22",22,2017,2017-04-28,"boxscore","BOS","","CHC","W",5,4,NA,"10-Dec",3,"2.5","Pomeranz","Arrieta","Kimbrel","3:28","N","37054","+",NA
"23",23,2017,2017-04-29,"boxscore","BOS","","CHC","L",4,7,NA,"11-Dec",3,"3.5","Lackey","Wright","Davis","3:00","D","36776","-",NA
"24",24,2017,2017-04-30,"boxscore","BOS","","CHC","W",6,2,NA,"13-11",3,"2.5","Barnes","Uehara","","3:28","N","36916","+",NA
