"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"1",1,2017,"2017-04-03","boxscore","BOS","PIT","W","Porcello","Cole","Kimbrel","3:03","D",36594,47,55,38
"2",2,2017,"2017-04-05","boxscore","BOS","PIT","W-wo","Kelly","Bastardo","","3:53","N",36137,40,41,37
"3",3,2017,"2017-04-07","boxscore","BOS","DET","L","Rodriguez","Hembree","","3:35","D",45013,48,54,41
"4",4,2017,"2017-04-08","boxscore","BOS","DET","L","Zimmermann","Rodriguez","Wilson","3:05","D",32622,43,49,38
"5",5,2017,"2017-04-09","boxscore","BOS","DET","W","Barnes","Rondon","Kimbrel","3:27","D",33662,51,66,40
"6",6,2017,"2017-04-10","boxscore","BOS","DET","L","Wilson","Sale","Rodriguez","2:44","D",24672,59,76,44
"7",7,2017,"2017-04-11","boxscore","BOS","BAL","W","Pomeranz","Bundy","","3:15","N",37497,64,84,52
"8",8,2017,"2017-04-12","boxscore","BOS","BAL","L","Givens","Wright","","3:46","N",32211,55,60,48
"9",9,2017,"2017-04-13","boxscore","BOS","PIT","W","Barnes","Nicasio","Kimbrel","3:15","D",32400,53,59,45
"10",10,2017,"2017-04-14","boxscore","BOS","TBR","L","Archer","Porcello","","3:37","N",36813,51,60,44
"11",11,2017,"2017-04-15","boxscore","BOS","TBR","W","Sale","Hunter","Kimbrel","2:54","D",36686,54,70,42
"12",12,2017,"2017-04-16","boxscore","BOS","TBR","W","Kelly","Farquhar","Kimbrel","3:46","D",36209,69,86,57
"13",13,2017,"2017-04-17","boxscore","BOS","TBR","W","Wright","Snell","Kimbrel","3:07","D",37318,70,75,49
"14",14,2017,"2017-04-18","boxscore","BOS","TOR","W","Johnson","Stroman","","3:48","N",29281,49,51,39
"15",15,2017,"2017-04-19","boxscore","BOS","TOR","L","Liriano","Porcello","Osuna","2:45","N",30842,45,56,39
"16",16,2017,"2017-04-20","boxscore","BOS","TOR","W","Kimbrel","Grilli","","3:07","D",44283,48,55,44
