"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"1",1,1,2017,"2017-04-03","boxscore","BOS","","PIT","W",5,3,NA,"Jan-00",1,"Tied","Porcello","Cole","Kimbrel","3:03","D",36594,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,47,55,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2017,"2017-04-05","boxscore","BOS","","PIT","W-wo",3,0,12,"Feb-00",1,"Tied","Kelly","Bastardo","","3:53","N",36137,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,40,41,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,2017,"2017-04-07","boxscore","BOS","@","DET","L",5,6,NA,"1-Feb",2,"1","Rodriguez","Hembree","","3:35","D",45013,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,48,54,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,2017,"2017-04-08","boxscore","BOS","@","DET","L",1,4,NA,"2-Feb",3,"2","Zimmermann","Rodriguez","Wilson","3:05","D",32622,"--",NA,"USW00014739","BOSTON, MA US",0,0,NA,43,49,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,2017,"2017-04-09","boxscore","BOS","@","DET","W",7,5,NA,"2-Mar",3,"1","Barnes","Rondon","Kimbrel","3:27","D",33662,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,51,66,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,2017,"2017-04-10","boxscore","BOS","@","DET","L",1,2,NA,"3-Mar",3,"1.5","Wilson","Sale","Rodriguez","2:44","D",24672,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,59,76,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,2017,"2017-04-11","boxscore","BOS","","BAL","W",8,1,NA,"3-Apr",3,"0.5","Pomeranz","Bundy","","3:15","N",37497,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,64,84,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,2017,"2017-04-12","boxscore","BOS","","BAL","L",5,12,NA,"4-Apr",3,"1.5","Givens","Wright","","3:46","N",32211,"-",NA,"USW00014739","BOSTON, MA US",0.02,0,NA,55,60,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,2017,"2017-04-13","boxscore","BOS","","PIT","W",4,3,NA,"4-May",2,"1.5","Barnes","Nicasio","Kimbrel","3:15","D",32400,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,53,59,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,2017,"2017-04-14","boxscore","BOS","","TBR","L",5,10,NA,"5-May",4,"2.5","Archer","Porcello","","3:37","N",36813,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,51,60,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
