"","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE"
"1",2012,2012-11-02,"vsMilwaukee","L99-88","0-2","18624"
"2",2012,2012-11-07,"vsWashington","W100-94 OT","2-2","18624"
"3",2012,2012-11-09,"vsPhiladelphia","L106-100","2-3","18624"
"4",2012,2012-11-14,"vsUtah","W98-93","5-3","18624"
"5",2012,2012-11-17,"vsToronto","W107-89","6-4","18624"
"6",2012,2012-11-21,"vsSan Antonio","L112-100","6-6","18624"
"7",2012,2012-11-23,"vsOklahoma City","W108-100","7-6","18624"
"8",2012,2012-11-28,"vsBrooklyn","L95-83","8-7","18624"
"9",2012,2012-11-30,"vsPortland","W96-78","9-7","18624"
"10",2012,2012-12-05,"vsMinnesota","W104-94","10-8","18624"
"11",2012,2012-12-08,"vsPhiladelphia","W92-79","11-9","18624"
"12",2012,2012-12-12,"vsDallas","W117-115 2OT","12-9","18624"
"13",2012,2012-12-19,"vsCleveland","W103-91","13-12","18624"
"14",2012,2012-12-21,"vsMilwaukee","L99-94 OT","13-13","18624"
"15",2013,2013-01-02,"vsMemphis","L93-83","14-17","18624"
"16",2013,2013-01-04,"vsIndiana","W94-75","15-17","18624"
"17",2013,2013-01-09,"vsPhoenix","W87-79","18-17","18624"
"18",2013,2013-01-11,"vsHouston","W103-91","19-17","18624"
"19",2013,2013-01-14,"vsCharlotte","W100-89","20-17","18624"
"20",2013,2013-01-16,"vsNew Orleans","L90-78","20-18","18624"
"21",2013,2013-01-18,"vsChicago","L100-99 OT","20-19","18624"
"22",2013,2013-01-24,"vsNew York","L89-86","20-22","18624"
"23",2013,2013-01-27,"vsMiami","W100-98 2OT","21-23","18624"
"24",2013,2013-01-30,"vsSacramento","W99-81","22-23","18624"
"25",2013,2013-02-01,"vsOrlando","W97-84","23-23","18624"
"26",2013,2013-02-03,"vsLA","W106-104","24-23","18624"
"27",2013,2013-02-07,"vsLos Angeles","W116-95","26-23","18624"
"28",2013,2013-02-10,"vsDenver","W118-114 3OT","27-23","18624"
"29",2013,2013-02-13,"vsChicago","W71-69","28-24","18624"
"30",2013,2013-03-01,"vsGolden State","W94-86","31-27","18624"
"31",2013,2013-03-08,"vsAtlanta","W107-102 OT","34-27","18624"
"32",2013,2013-03-13,"vsToronto","W112-88","35-29","18624"
"33",2013,2013-03-16,"vsCharlotte","W105-88","36-29","18624"
"34",2013,2013-03-18,"vsMiami","L105-103","36-30","18624"
"35",2013,2013-03-26,"vsNew York","L100-85","36-34","18624"
"36",2013,2013-03-29,"vsAtlanta","W118-107","38-34","18624"
"37",2013,2013-04-03,"vsDetroit","W98-93","39-36","18624"
"38",2013,2013-04-05,"vsCleveland","L97-91","39-37","18624"
"39",2013,2013-04-07,"vsWashington","W107-96","40-37","18624"
"40",2013,2013-04-10,"vsBrooklyn","L101-93","40-38","18624"
"41",2013,2013-11-01,"vsMilwaukee","L105-98","0-2","18,624"
"42",2013,2013-11-06,"vsUtah","W97-87","1-4","17,130"
"43",2013,2013-11-11,"vsOrlando","W120-105","4-4","18,624"
"44",2013,2013-11-13,"vsCharlotte","L89-83","4-5","17,032"
"45",2013,2013-11-15,"vsPortland","L109-96","4-6","18,624"
"46",2013,2013-11-22,"vsIndiana","L97-82","4-10","18,624"
"47",2013,2013-11-27,"vsMemphis","L100-93","6-11","17,319"
"48",2013,2013-11-29,"vsCleveland","W103-86","7-11","17,685"
"49",2013,2013-12-03,"vsMilwaukee","W108-100","8-12","16,649"
"50",2013,2013-12-06,"vsDenver","W106-98","9-12","17,263"
"51",2013,2013-12-11,"vsLA","L96-88","10-14","17,587"
"52",2013,2013-12-13,"vsNew York","W90-86","11-14","17,479"
"53",2013,2013-12-16,"vsMinnesota","W101-97","12-14","17,071"
"54",2013,2013-12-18,"vsDetroit","L107-106","12-15","17,101"
"55",2013,2013-12-21,"vsWashington","L106-99","12-16","18,169"
"56",2013,2013-12-28,"vsCleveland","W103-100","13-17","18,264"
"57",2013,2013-12-31,"vsAtlanta","L92-91","13-18","18,264"
"58",2014,2014-01-03,"vsNew Orleans","L95-92","13-20","18,264"
"59",2014,2014-01-13,"vsHouston","L104-92","13-26","17,750"
"60",2014,2014-01-15,"vsToronto","W88-83","14-26","17,569"
"61",2014,2014-01-17,"vsLos Angeles","L107-104","14-27","18,624"
"62",2014,2014-01-24,"vsOklahoma City","L101-83","15-30","18,624"
"63",2014,2014-01-26,"vsBrooklyn","L85-79","15-31","18,624"
"64",2014,2014-01-29,"vsPhiladelphia","L95-94","15-33","18,624"
"65",2014,2014-02-02,"vsOrlando","W96-89","16-33","18,624"
"66",2014,2014-02-07,"vsSacramento","W99-89","18-33","18,624"
"67",2014,2014-02-09,"vsDallas","L102-91","18-34","17,650"
"68",2014,2014-02-12,"vsSan Antonio","L104-92","19-35","17,922"
"69",2014,2014-02-26,"vsAtlanta","W115-104","20-39","16,605"
"70",2014,2014-03-01,"vsIndiana","L102-97","20-40","18,624"
"71",2014,2014-03-05,"vsGolden State","L108-88","20-41","18,155"
"72",2014,2014-03-07,"vsBrooklyn","W91-84","21-41","18,195"
"73",2014,2014-03-09,"vsDetroit","W118-111","22-41","18,624"
"74",2014,2014-03-12,"vsNew York","L116-92","22-43","18,624"
"75",2014,2014-03-14,"vsPhoenix","L87-80","22-44","18,624"
"76",2014,2014-03-19,"vsMiami","W101-96","23-46","18,624"
"77",2014,2014-03-26,"vsToronto","L99-90","23-48","18,341"
"78",2014,2014-03-30,"vsChicago","L107-102","23-50","18,624"
"79",2014,2014-04-04,"vsPhiladelphia","L111-102","23-53","18,624"
"80",2014,2014-04-11,"vsCharlotte","W106-103","24-55","18,624"
"81",2014,2014-04-16,"vsWashington","L118-102","25-57","18,624"
"82",2014,2014-10-29,"vsBrooklyn","W121-105","1-0","18624"
"83",2014,2014-11-05,"vsToronto","L110-107","1-3","16249"
"84",2014,2014-11-07,"vsIndiana","W101-98","2-3","17122"
"85",2014,2014-11-12,"vsOklahoma City","L109-94","3-4","17043"
"86",2014,2014-11-14,"vsCleveland","L122-121","3-5","18624"
"87",2014,2014-11-17,"vsPhoenix","L118-114","3-6","16726"
"88",2014,2014-11-23,"vsPortland","L94-88","4-8","16692"
"89",2014,2014-11-28,"vsChicago","L109-102","4-9","18203"
"90",2014,2014-11-30,"vsSan Antonio","L111-89","4-10","17121"
"91",2014,2014-12-03,"vsDetroit","W109-102 OT","5-11","15870"
"92",2014,2014-12-05,"vsLos Angeles","W113-96","6-11","18624"
"93",2014,2014-12-07,"vsWashington","W101-93","7-11","16716"
"94",2014,2014-12-12,"vsNew York","L101-95","7-14","17989"
"95",2014,2014-12-17,"vsOrlando","W109-92","9-14","16764"
"96",2014,2014-12-19,"vsMinnesota","W114-98","10-14","17042"
"97",2014,2014-12-26,"vsBrooklyn","L109-107","10-17","18624"
"98",2014,2014-12-31,"vsSacramento","W106-84","11-18","18624"
"99",2015,2015-01-02,"vsDallas","L119-101","11-19","18624"
"100",2015,2015-01-05,"vsCharlotte","L104-95","11-21","16720"
"101",2015,2015-01-12,"vsNew Orleans","W108-100","13-23","16906"
"102",2015,2015-01-14,"vsAtlanta","L105-91","13-24","16067"
"103",2015,2015-01-16,"vsChicago","L119-103","13-25","18624"
"104",2015,2015-01-30,"vsHouston","L93-87","16-29","17675"
"105",2015,2015-02-01,"vsMiami","L83-75","16-30","17366"
"106",2015,2015-02-04,"vsDenver","W104-100","18-30","15126"
"107",2015,2015-02-06,"vsPhiladelphia","W107-96","19-30","18322"
"108",2015,2015-02-11,"vsAtlanta","W89-88","20-31","16083"
"109",2015,2015-02-25,"vsNew York","W115-94","22-33","16899"
"110",2015,2015-02-27,"vsCharlotte","W106-98","23-33","18624"
"111",2015,2015-03-01,"vsGolden State","L106-101","23-34","18624"
"112",2015,2015-03-04,"vsUtah","W85-84","24-35","16354"
"113",2015,2015-03-11,"vsMemphis","W95-92","27-36","17135"
"114",2015,2015-03-13,"vsOrlando","W95-88","28-36","18624"
"115",2015,2015-03-16,"vsPhiladelphia","W108-89","30-36","18624"
"116",2015,2015-03-22,"vsDetroit","L105-97 OT","30-39","18624"
"117",2015,2015-03-25,"vsMiami","L93-86","31-40","17366"
"118",2015,2015-03-29,"vsLA","L119-106","32-41","18624"
"119",2015,2015-04-01,"vsIndiana","W100-87","34-41","18624"
"120",2015,2015-04-03,"vsMilwaukee","L110-101","34-42","18624"
