"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"1",1,2012,"2012-11-02","vsMilwaukee","L99-88","0-2","18624","USW00014739","BOSTON, MA US",0.03,0,NA,NA,52,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"2",2,2012,"2012-11-07","vsWashington","W100-94 OT","2-2","18624","USW00014739","BOSTON, MA US",0.33,0.1,NA,NA,45,32,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA
"3",3,2012,"2012-11-09","vsPhiladelphia","L106-100","2-3","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,53,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2012,"2012-11-14","vsUtah","W98-93","5-3","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,45,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2012,"2012-11-17","vsToronto","W107-89","6-4","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,47,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2012,"2012-11-21","vsSan Antonio","L112-100","6-6","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,49,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2012,"2012-11-23","vsOklahoma City","W108-100","7-6","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,49,36,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"8",8,2012,"2012-11-28","vsBrooklyn","L95-83","8-7","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,36,32,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"9",9,2012,"2012-11-30","vsPortland","W96-78","9-7","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,38,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2012,"2012-12-05","vsMinnesota","W104-94","10-8","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,57,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"11",11,2012,"2012-12-08","vsPhiladelphia","W92-79","11-9","18624","USW00014739","BOSTON, MA US",0.34,0,NA,NA,47,43,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
"12",12,2012,"2012-12-12","vsDallas","W117-115 2OT","12-9","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,40,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2012,"2012-12-19","vsCleveland","W103-91","13-12","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,45,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"14",14,2012,"2012-12-21","vsMilwaukee","L99-94 OT","13-13","18624","USW00014739","BOSTON, MA US",0.65,0,NA,NA,52,38,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"15",15,2013,"2013-01-02","vsMemphis","L93-83","14-17","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"16",16,2013,"2013-01-04","vsIndiana","W94-75","15-17","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,38,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,2013,"2013-01-09","vsPhoenix","W87-79","18-17","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,46,28,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"18",18,2013,"2013-01-11","vsHouston","W103-91","19-17","18624","USW00014739","BOSTON, MA US",0.12,0,NA,NA,40,31,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"19",19,2013,"2013-01-14","vsCharlotte","W100-89","20-17","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,61,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,2013,"2013-01-16","vsNew Orleans","L90-78","20-18","18624","USW00014739","BOSTON, MA US",0.37,3.2,NA,NA,36,30,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA
"21",21,2013,"2013-01-18","vsChicago","L100-99 OT","20-19","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,2013,"2013-01-24","vsNew York","L89-86","20-22","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,2013,"2013-01-27","vsMiami","W100-98 2OT","21-23","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,32,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,2013,"2013-01-30","vsSacramento","W99-81","22-23","18624","USW00014739","BOSTON, MA US",0.06,0,NA,NA,60,33,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
