"","Date","Attendance","Opp","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","Year"
"1","2012-11-02",18624,"Milwaukee",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,9.62,",,X",0.03,",,X,2400",0,",,X",NA,NA,NA,"",52,",,X",45,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,1,",,X",NA,NA,NA,"",NA,NA,NA,"","2012"
"2","2012-11-07",18624,"Washington",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,23.04,",,X",0.33,",,X,2400",0.1,",,X",NA,NA,NA,"",45,",,X",32,",,X",1,",,W",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",1,",,X",NA,"",NA,NA,1,",,X",NA,NA,1,",,X",NA,NA,NA,"","2012"
"3","2012-11-09",18624,"Philadelphia",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.97,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",53,",,X",38,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"4","2012-11-14",18624,"Utah",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.96,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",45,",,X",36,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"5","2012-11-17",18624,"Toronto",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.71,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",47,",,X",36,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"6","2012-11-21",18624,"San Antonio",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,9.4,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",49,",,X",38,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"7","2012-11-23",18624,"Oklahoma City",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.72,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",49,",,X",36,",,X",1,",,W",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",1,",,X",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"8","2012-11-28",18624,"Brooklyn",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.28,",,X",0,"T,,X,2400",0,"T,,X",NA,NA,NA,"",36,",,X",32,",,X",1,",,W",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",1,",,X",NA,NA,NA,"",NA,NA,1,",,X",NA,NA,NA,"","2012"
"9","2012-11-30",18624,"Portland",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.05,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",38,",,X",30,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2012"
"10","2012-12-05",18624,"Minnesota",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,15.88,",,X",0,"T,,X,2400",0,",,X",NA,NA,NA,"",57,",,X",33,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,1,",,X",NA,NA,NA,"",NA,NA,NA,"","2012"
