STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/1/2012,9.17,",,W",0.01,",,X,2400",0,",,X",,,,,52,",,X",39,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/2/2012,13.87,",,W",0.01,",,X,2400",0,",,X",,,,,50,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/3/2012,14.76,",,W",0,",,X,2400",0,",,X",,,,,35,",,X",14,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/4/2012,11.86,",,W",0,",,X,2400",0,",,X",,,,,28,",,X",10,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/5/2012,11.41,",,W",0,",,X,2400",0,",,X",,,,,39,",,X",25,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/6/2012,5.82,",,W",0,"T,,X,2400",0,"T,,X",,,,,48,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/7/2012,4.92,",,W",0,",,X,2400",0,",,X",,,,,60,",,X",30,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/8/2012,11.63,",,W",0,",,X,2400",0,",,X",,,,,45,",,X",30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/9/2012,7.16,",,W",0,",,X,2400",0,",,X",,,,,40,",,X",25,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/10/2012,10.07,",,W",0.02,",,X,2400",0.5,",,X",,,,,47,",,X",30,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/11/2012,7.61,",,W",0,",,X,2400",0,",,X",,,,,38,",,X",30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/12/2012,19.46,",,W",0.92,",,X,2400",0,",,X",,,,,42,",,X",33,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/13/2012,18.34,",,W",0.05,",,X,2400",0,",,X",,,,,54,",,X",31,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/14/2012,17.22,",,W",0,",,X,2400",0,",,X",,,,,34,",,X",19,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/15/2012,14.99,",,W",0,",,X,2400",0,",,X",,,,,19,",,X",6,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/16/2012,11.18,",,W",0.06,",,X,2400",1.2,",,X",,,,,34,",,X",10,",,X",,,1,",,X",,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/17/2012,10.96,",,W",0.09,",,X,2400",0.2,",,X",,,,,48,",,X",33,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,1,",,X",1,",,X",,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/18/2012,20.58,",,W",0,",,X,2400",0,",,X",,,,,52,",,X",21,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/19/2012,8.72,",,W",0.01,",,X,2400",0.3,",,X",,,,,33,",,X",17,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/20/2012,10.96,",,W",0.05,",,X,2400",1.5,",,X",,,,,32,",,X",22,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,1,",,X"
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/21/2012,10.51,",,W",0.18,",,X,2400",2.9,",,X",,,,,23,",,X",16,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,1,",,X"
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/22/2012,7.38,",,W",0,",,X,2400",0,",,X",,,,,30,",,X",15,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/23/2012,4.7,",,W",0.2,",,X,2400",0,"T,,X",,,,,47,",,X",28,",,X",1,",,X",1,",,X",,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/24/2012,11.41,",,W",0.01,",,X,2400",0,",,X",,,,,56,",,X",42,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/25/2012,12.53,",,W",0,",,X,2400",0,",,X",,,,,43,",,X",36,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/26/2012,8.05,",,W",0.17,",,X,2400",0.2,",,X",,,,,41,",,X",31,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/27/2012,10.51,",,W",0.89,",,X,2400",0,",,X",,,,,46,",,X",37,",,X",,,1,",,X",,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/28/2012,12.53,",,W",0,",,X,2400",0,",,X",,,,,46,",,X",38,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/29/2012,14.76,",,W",0,",,X,2400",0,",,X",,,,,43,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/30/2012,13.65,",,W",0,"T,,X,2400",0,"T,,X",,,,,40,",,X",31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/31/2012,5.82,",,W",0,",,X,2400",0,",,X",,,,,47,",,X",30,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/1/2012,8.05,",,W",0,"T,,X,2400",0,",,X",,,,,59,",,X",35,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/2/2012,10.96,",,W",0,"T,,X,2400",0,"T,,X",,,,,45,",,X",31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/3/2012,11.18,",,W",0,",,X,2400",0,",,X",,,,,39,",,X",25,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/4/2012,11.86,",,W",0,",,X,2400",0,",,X",,,,,43,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/5/2012,6.71,",,W",0,",,X,2400",0,",,X",,,,,36,",,X",22,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
